id,code,name,main_series,enabled
137,toxic-boost,中毒激升,true,true
138,flare-boost,受热激升,true,true
139,harvest,收获,true,true
140,telepathy,心灵感应,true,true
141,moody,心情不定,true,true
142,overcoat,防尘,true,true
143,poison-touch,毒手,true,true
144,regenerator,再生力,true,true
145,big-pecks,健壮胸肌,true,true
146,sand-rush,拨沙,true,true
147,wonder-skin,奇迹皮肤,true,true
148,analytic,分析,true,true
149,illusion,幻觉,true,true
150,imposter,变身者,true,true
151,infiltrator,穿透,true,true
152,mummy,木乃伊,true,true
153,moxie,自信过度,true,true
154,justified,正义之心,true,true
155,rattled,胆怯,true,true
156,magic-bounce,魔法镜,true,true
157,sap-sipper,食草,true,true
158,prankster,恶作剧之心,true,true
159,sand-force,沙之力,true,true
160,iron-barbs,铁刺,true,true
161,zen-mode,达摩模式,true,true
162,victory-star,胜利之星,true,true
163,turboblaze,涡轮火焰,true,true
164,teravolt,兆级电压,true,true
165,aroma-veil,芳香幕,true,true
166,flower-veil,花幕,true,true
167,cheek-pouch,颊囊,true,true
168,protean,变幻自如,true,true
169,fur-coat,毛皮大衣,true,true
170,magician,魔术师,true,true
171,bulletproof,防弹,true,true
172,competitive,好胜,true,true
173,strong-jaw,强壮之颚,true,true
174,refrigerate,冰冻皮肤,true,true
175,sweet-veil,甜幕,true,true
176,stance-change,战斗切换,true,true
177,gale-wings,疾风之翼,true,true
178,mega-launcher,超级发射器,true,true
179,grass-pelt,草之毛皮,true,true
180,symbiosis,共生,true,true
181,tough-claws,硬爪,true,true
182,pixilate,妖精皮肤,true,true
183,gooey,黏滑,true,true
184,aerilate,飞行皮肤,true,true
185,parental-bond,亲子爱,true,true
186,dark-aura,暗黑气场,true,true
187,fairy-aura,妖精气场,true,true
188,aura-break,气场破坏,true,true
189,primordial-sea,始源之海,true,true
190,desolate-land,终结之地,true,true
191,delta-stream,德尔塔气流,true,true
192,stamina,持久力,true,true
193,wimp-out,跃跃欲逃,true,true
194,emergency-exit,危险回避,true,true
195,water-compaction,遇水凝固,true,true
196,merciless,不仁不义,true,true
197,shields-down,界限盾壳,true,true
198,stakeout,蹲守,true,true
199,water-bubble,水泡,true,true
200,steelworker,钢能力者,true,true
201,berserk,怒火冲天,true,true
202,slush-rush,拨雪,true,true
203,long-reach,远隔,true,true
204,liquid-voice,湿润之声,true,true
205,triage,先行治疗,true,true
206,galvanize,电气皮肤,true,true
207,surge-surfer,冲浪之尾,true,true
208,schooling,鱼群,true,true
209,disguise,画皮,true,true
210,battle-bond,牵绊变身,true,true
211,power-construct,群聚变形,true,true
212,corrosion,腐蚀,true,true
213,comatose,绝对睡眠,true,true
214,queenly-majesty,女王的威严,true,true
215,innards-out,飞出的内在物,true,true
216,dancer,舞者,true,true
217,battery,蓄电池,true,true
218,fluffy,毛茸茸,true,true
219,dazzling,鲜艳之躯,true,true
220,soul-heart,魂心,true,true
221,tangling-hair,卷发,true,true
222,receiver,接球手,true,true
223,power-of-alchemy,化学之力,true,true
224,beast-boost,异兽提升,true,true
225,rks-system,ＡＲ系统,true,true
226,electric-surge,电气制造者,true,true
227,psychic-surge,精神制造者,true,true
228,misty-surge,薄雾制造者,true,true
229,grassy-surge,青草制造者,true,true
230,full-metal-body,金属防护,true,true
231,shadow-shield,幻影防守,true,true
232,prism-armor,棱镜装甲,true,true
233,neuroforce,脑核之力,true,true
234,intrepid-sword,不挠之剑,true,true
235,dauntless-shield,不屈之盾,true,true
236,libero,自由者,true,true
237,ball-fetch,捡球,true,true
238,cotton-down,棉絮,true,true
239,propeller-tail,螺旋尾鳍,true,true
240,mirror-armor,镜甲,true,true
241,gulp-missile,一口导弹,true,true
242,stalwart,坚毅,true,true
243,steam-engine,蒸汽机,true,true
244,punk-rock,庞克摇滚,true,true
245,sand-spit,吐沙,true,true
246,ice-scales,冰鳞粉,true,true
247,ripen,熟成,true,true
248,ice-face,结冻头,true,true
249,power-spot,能量点,true,true
250,mimicry,拟态,true,true
251,screen-cleaner,除障,true,true
252,steely-spirit,钢之意志,true,true
253,perish-body,灭亡之躯,true,true
254,wandering-spirit,游魂,true,true
255,gorilla-tactics,一猩一意,true,true
256,neutralizing-gas,化学变化气体,true,true
257,pastel-veil,粉彩护幕,true,true
258,hunger-switch,饱了又饿,true,true
259,quick-draw,速击,true,true
260,unseen-fist,无形拳,true,true
261,curious-medicine,怪药,true,true
262,transistor,电晶体,true,true
263,dragons-maw,龙颚,true,true
264,chilling-neigh,苍白嘶鸣,true,true
265,grim-neigh,漆黑嘶鸣,true,true
266,as-one-glastrier,人马一体,true,true
267,as-one-spectrier,人马一体,true,true
268,lingering-aroma,甩不掉的气味,true,true
269,seed-sower,掉出种子,true,true
270,thermal-exchange,热交换,true,true
271,anger-shell,愤怒甲壳,true,true
272,purifying-salt,洁净之盐,true,true
273,well-baked-body,焦香之躯,true,true
274,wind-rider,乘风,true,true
275,guard-dog,看门犬,true,true
276,rocky-payload,搬岩,true,true
277,wind-power,风力发电,true,true
278,zero-to-hero,全能变身,true,true
279,commander,发号施令,true,true
280,electromorphosis,电力转换,true,true
281,protosynthesis,古代活性,true,true
282,quark-drive,夸克充能,true,true
283,good-as-gold,黄金之躯,true,true
284,vessel-of-ruin,灾祸之鼎,true,true
285,sword-of-ruin,灾祸之剑,true,true
286,tablets-of-ruin,灾祸之简,true,true
287,beads-of-ruin,灾祸之玉,true,true
288,orichalcum-pulse,绯红脉动,true,true
289,hadron-engine,强子引擎,true,true
290,opportunist,跟风,true,true
291,cud-chew,反刍,true,true
292,sharpness,锋锐,true,true
293,supreme-overlord,大将,true,true
294,costar,同台共演,true,true
295,toxic-debris,毒满地,true,true
296,armor-tail,尾甲,true,true
297,earth-eater,食土,true,true
298,mycelium-might,菌丝之力,true,true
299,minds-eye,心眼,true,true
300,supersweet-syrup,甘露之蜜,true,true
301,hospitality,款待,true,true
302,toxic-chain,毒锁链,true,true
303,embody-aspect,面影辉映,true,true
304,tera-shift,太晶变形,true,true
305,tera-shell,太晶甲壳,true,true
306,teraform-zero,归零化境,true,true
307,poison-puppeteer,毒傀儡,true,true
308,piercing-drill,贯穿钻,true,true
309,dragonize,龙皮肤,true,true
310,mega-sol,超级日光,true,true
311,spicy-spray,辣椒喷发,true,true
312,eelevate,电气升腾,true,true
313,fire-mane,火焰鬃毛,true,true
10001,mountaineer,登山者,false,true
10002,wave-rider,乘浪者,false,true
10003,skater,滑行者,false,true
10004,thrust,突进,false,true
10005,perception,感知,false,true
10006,parry,招架,false,true
10007,instinct,本能,false,true
10008,dodge,闪避,false,true
10009,jagged-edge,锯齿边缘,false,true
10010,frostbite,冻伤,false,true
10011,tenacity,坚韧,false,true
10012,pride,自尊,false,true
10013,deep-sleep,深眠,false,true
10014,power-nap,强力小憩,false,true
10015,spirit,斗志,false,true
10016,warm-blanket,暖毯,false,true
10017,gulp,吞咽,false,true
10018,herbivore,食草,false,true
10019,sandpit,沙坑,false,true
10020,hot-blooded,热血,false,true
10021,medic,医护,false,true
10022,life-force,生命力,false,true
10023,lunchbox,便当盒,false,true
10024,nurse,护理,false,true
10025,melee,近战,false,true
10026,sponge,海绵,false,true
10027,bodyguard,保镖,false,true
10028,hero,英雄,false,true
10029,last-bastion,最后堡垒,false,true
10030,stealth,潜行,false,true
10031,vanguard,先锋,false,true
10032,nomad,游牧,false,true
10033,sequence,连贯,false,true
10034,grass-cloak,青草披风,false,true
10035,celebrate,庆祝,false,true
10036,lullaby,摇篮曲,false,true
10037,calming,安抚,false,true
10038,daze,恍惚,false,true
10039,frighten,惊吓,false,true
10040,interference,干扰,false,true
10041,mood-maker,气氛制造者,false,true
10042,confidence,自信,false,true
10043,fortune,幸运,false,true
10044,bonanza,大发现,false,true
10045,explode,爆发,false,true
10046,omnipotent,万能,false,true
10047,share,分享,false,true
10048,black-hole,黑洞,false,true
10049,shadow-dash,暗影疾驰,false,true
10050,sprint,冲刺,false,true
10051,disgust,嫌恶,false,true
10052,high-rise,高层,false,true
10053,climber,攀登者,false,true
10054,flame-boost,火焰强化,false,true
10055,aqua-boost,水流强化,false,true
10056,run-up,助跑,false,true
10057,conqueror,征服者,false,true
10058,shackle,束缚,false,true
10059,decoy,替身诱饵,false,true
10060,shield,护盾,false,true
