id,ability_id,effect,short_effect,flavor_text
11,11,每当水属性技能击中这只生物时，它会恢复其最大生命值的 1/4，并消除对其产生的任何其他效果。水属性技能会无视这只生物的替身。,吸收水属性技能，回复最大生命值的 1/4。,受到水属性的技能攻击时， 不会受到伤害，而是会回复。
12,12,该生物不会被迷惑，并且免疫迷惑。如果生物陷入迷恋并获得此能力，则其迷恋会被清除。,防止迷恋并防止迷惑。,因为感觉迟钝， 不会变为着迷和被挑衅状态。
13,13,当这只生物在战斗时，天气仍然会起作用，但不会产生任何影响。此能力的功能与 气闸 相同。,消除天气的所有影响，但不能阻止天气本身。,任何天气的影响都会消失。
14,14,该生物的技能命中率是原来的 1.3 倍。该能力对一击击倒技能（地裂、断头钳、角钻、绝对零度）无效。冒险中：如果队伍中的第一只生物拥有此能力，野生生物持有特定物品的几率会分别从 50%、5% 或 1% 提高到 60%、20% 或 5%。,将技能命中率提高至 1.3 倍。,因为拥有复眼， 技能的命中率会提高。
15,15,该生物无法睡觉。这会导致 睡觉 完全失败。如果生物在睡觉并获得此能力，它会立即醒来；这包括在离开对战后恢复失去的能力。该能力与对战中的干劲作用相同。,妨碍睡眠。,因为有着睡不着的体质， 所以不会陷入睡眠状态。
16,16,每当该生物受到伤害类招式直接伤害时，自身属性会变为该招式属性。如果原本有两种属性，两者都会被覆盖。被替身挡下的招式或撒菱等间接伤害不会触发；连续招式只在最后一次命中后触发。,受到伤害类招式击中时，属性会变为该招式属性。,自己的属性会变为 从对手处所受技能的属性。
17,17,该生物不会中毒。这包括剧毒。如果生物中毒并获得此能力，则其毒素会被治愈；这包括在离开对战后恢复失去的能力。,防止中毒。,因为体内拥有免疫能力， 不会变为中毒状态。
18,18,该生物对火属性技能免疫。一旦该生物被火属性技能击中，其自身的火属性技能将造成 1.5 倍的伤害，直到其脱离对战。当生物被冻结时，该能力无效。即使生物被冻结和解冻或者能力丢失或禁用，火属性伤害加成仍会保留。火属性技能将无视这只生物的替身。该能力甚至对非伤害性技能（例如“鬼火”）也有效。,防止火属性技能。一旦吸收，生物自身的火属性技能就会造成 1.5 倍的伤害，直到它离开对战。,受到火属性的技能攻击时， 吸收火焰，自己使出的 火属性技能会变强。
19,19,该生物不受针对它的技能的额外效果影响。额外效果是一个技能的机会，被列为“效果机会”，除了技能的主要效果之外，还会造成状态异常、导致能力值变化或使目标退缩。例如，电击的麻痹是额外效果，但电磁波的麻痹效果不是额外效果，拍落的物品移除和空气切割机的击中要害率增加也不是。,防止受到的技能产生追加效果。,被鳞粉守护着， 不会受到技能的追加效果影响。
20,20,这只生物不会被混淆。如果生物陷入混乱并获得此能力，其混乱将立即被治愈。,防止混乱。,因为我行我素， 不会变为混乱状态。
21,21,该生物无法通过旋风斩等技能迫使其脱离对战。龙尾和圆投仍然会对这只生物造成伤害。冒险中：如果领头的生物具有此能力，钓鱼时的成功率就会增加。,防止因其他生物的技能而被迫退出对战。,用吸盘牢牢贴在地面上， 让强制替换自己的技能和道具无效。
22,22,当这只生物进入战斗时，对手的攻击力降低一级。在双人战斗中，双方对手都会受到影响。该能力在战斗中获得时也会生效，但如果丢失并在未离开战斗的情况下重新获得，则不会再次生效。该能力对有替身的对手没有影响。冒险中：如果队伍中的第一只生物具有此能力，则任何随机遭遇低于其等级五级或以上的生物的情况都有 50% 的几率被跳过。,进入对战时降低对手攻击一级。,出场时威吓对手， 让其退缩， 降低对手的攻击。
23,23,当这只生物在战斗时，对手的生物不能逃跑或切换。其他具有此能力的生物不受影响。拥有逃跑功能的生物仍然可以逃跑。生物仍然可以通过使用技能或物品来切换。,防止对手逃跑或转出。,踩住对手的影子 使其无法逃走或替换。
24,24,每当技能与该生物接触时，该技能的使用者都会受到其最大生命值 1/8 的伤害。该能力的作用与铁倒刺相同。,接触时对攻击的生物造成最大生命值 1/8 的伤害。,受到攻击时， 用粗糙的皮肤弄伤 接触到自己的对手。
25,25,该生物不会受到对其攻击效果不佳的伤害性技能的影响。造成固定伤害的技能，例如夜影或地震投掷，如果其属性有效，则被认为是效果绝佳的。不直接由技能造成的伤害，例如天气、异常状态或尖刺造成的伤害，不会被阻止。此能力无法通过扮演复制或通过特性互换进行交易，但可以通过追踪复制、通过胃液禁用或通过烦恼种子更改。该生物仍然可以使用扮演本身来失去此能力，但不能使用特性互换。如果该生物有替身，该能力将像往常一样阻止技能，任何未被阻止的技能都会像往常一样对替身做出反应。,防止不是非常有效的伤害性技能。,不可思议的力量， 只有效果绝佳的技能才能击中。
26,26,该生物对地面属性技能、尖刺、有毒尖刺和竞技场陷阱免疫。该能力在重力或嵌入时或持有铁球时被禁用。该能力在栖息期间不会被禁用。,回避地面属性技能。,从地面浮起， 从而不会受到地面属性技能的攻击。
27,27,每当一个技能与该生物接触时，该技能的使用者有 30% 的几率陷入麻痹、中毒或陷入睡眠状态（随机选择）。如果该技能的使用者对其中一种异常状态免疫，则不会采取任何措施进行补偿；该技能的使用者受到影响的可能性较低。,攻击接触到的生物时，有 30% 的几率造成麻痹、中毒或睡眠。,受到攻击时， 有时会把接触到自己的对手 变为中毒、麻痹或睡眠状态。
28,28,每当这只生物被烧伤、麻痹或中毒时，给这只生物带来这种异常状态的生物也会被传染这种异常状态。当该生物剧毒时，该能力会恢复剧毒。此能力无法传递该生物未直接从其他生物那里获得的异常状态，例如有毒尖刺的中毒或火焰球的灼伤。冒险中：如果领头生物具有此能力，野生生物有 50% 的几率拥有领头生物的性质，并且有 50% 的机会像往常一样被赋予随机性质，包括领头生物的性质。这不适用于在战斗或漫游传奇之外收到的生物。,将受到的灼伤、麻痹和中毒复制到造成他们身上的生物身上。,将自己的中毒、麻痹 或灼伤状态传染给对手。
29,29,该生物的属性不会被其他生物降低。除了能力值修正值之外，此能力不会防止任何能力值损失，例如麻痹造成的速度削减。该生物仍然可以通过防守互换、心灵互换或力量互换传递负面能力值修正。该能力的作用与对战中的白烟相同。,防止其他生物降低能力值。,不会因为对手的技能或特性 而被降低能力。
30,30,当这只生物被换成另一只生物时，它的任何主要异常状态都会被治愈。如果在对战中获得此能力，则生物会在离开对战时治愈，然后失去临时能力。,治愈切换后的任何主要异常状态。,回到同行队伍后， 异常状态就会被治愈。
31,31,如果该生物是符合条件的目标，则所有其他生物的单目标电属性技能都会被重定向到该生物。其他生物的电击技能会将该生物的特攻提升一级，抵消其上的任何其他效果，并且不会错过它。如果该技能的预定目标也具有此能力，则该技能不会被重定向。当多个具有此能力的生物可能成为重定向目标时，技能将被重定向到速度能力值最高的生物，或者在平局的情况下，重定向到随机并列的生物。看我嘛优先于此能力。如果生物是地面属性，因此免疫电击，它的免疫力会阻止特殊攻击提升。,在可能的情况下将单目标电技能重定向到该生物。吸收电击，特攻提升一级。,将电属性的技能吸引到自己身上， 不会受到伤害，而是会提高特攻。
32,32,该生物的技能的效果概率是平时的两倍。效果几率是指除了该技能的主要效果之外，该技能造成异常状态、导致属性变化或使目标退缩的几率。例如，火焰喷射器灼伤目标的几率增加了一倍，但保护的成功几率和空气切割机增加的击中要害率不受影响。秘密力量不受影响。,技能的额外效果发生的几率加倍。,托天恩的福， 技能的追加效果容易出现。
33,33,该生物的速度在下雨时会加倍。此奖励不算作能力值修正。,下雨时速度加倍。,下雨天气时， 速度会提高。
34,34,在强烈的阳光下，该生物的速度会加倍。此奖励不算作能力值修正。,强烈阳光下速度加倍。,晴朗天气时， 速度会提高。
35,35,冒险中：如果主力生物拥有此能力，野外遭遇率将翻倍。该能力在对战中没有效果。,野外遭遇率翻倍。,通过让周围变亮， 变得容易遇到野生的生物。
36,36,当这只生物进入战斗时，它会随机复制对手的能力。此能力无法复制花之礼、预报、幻觉、变身者、多属性、追踪、神奇守护或达摩模式。,进入对战时复制对手的能力。,出场时，复制对手的特性， 变为与之相同的特性。
37,37,该生物在对战中攻击力翻倍。此奖励不算作能力值修正。该能力的作用与纯粹力量相同。,对战中攻击力加倍。,物理攻击的威力会变为２倍。
38,38,每当技能与这只生物接触时，该技能的使用者就有 30% 的几率中毒。,有 30% 的几率接触到攻击生物时中毒。,有时会让接触到自己的 对手变为中毒状态。
39,39,这只生物不会退缩。,防止退缩。,拥有经过锻炼的精神， 而不会因对手的攻击而畏缩。
40,40,该生物无法被冻结。如果生物被冻结并获得此能力，它会立即解冻；这包括在离开对战后恢复失去的能力。冒险中：如果队伍中的任何生物具有此能力，则队伍中的每个蛋的孵化计数器在每个步骤周期都会减少 2（而不是 1），使蛋的孵化速度大约提高两倍。如果多个生物具有此能力或火焰之体，则此效果不会叠加。,防止结冰。,将炽热的熔岩覆盖在身上， 不会变为冰冻状态。
41,41,该生物无法被灼伤。如果生物被烧伤并获得此能力，则其烧伤会被治愈；这包括在离开对战后恢复失去的能力。,防止烧伤。,将水幕裹在身上， 不会变为灼伤状态。
42,42,当这只生物在战斗中时，对手的钢属性生物不能逃跑或切换。拥有逃跑功能的生物仍然可以逃跑。生物仍然可以通过使用技能或物品来切换。冒险中：如果主力生物有此能力，钢属性生物的遭遇率会更高。,防止钢属性对手逃跑或切换。,用磁力吸住钢属性的生物， 使其无法逃走。
43,43,该生物不受标记为基于声音的技能免疫。治愈贝尔不受影响。喧嚣仍然让这只生物无法入睡。该生物仍然可以通过接力棒获得灭亡之歌指示物，并且如果在使用灭亡之歌后获得此能力，则将保留灭亡之歌指示物。嚎叫、时光咆哮、音爆和哈欠未标记为基于声音的。,防止基于声音的技能。,通过屏蔽声音， 不受到声音技能的攻击。
44,44,该生物在雨天每回合后会恢复其最大生命值的 1/16。,雨天每回合后可恢复 1/16 最大生命值。,下雨天气时， 会缓缓回复ＨＰ。
45,45,当这只生物进入对战时，天气会变成沙尘暴，除非被其他天气条件取消，否则不会结束。如果同时发出多只具有此能力的生物，如毛毛雨、干旱或雪警告，则能力将按速度顺序启动，尊重戏法空间。每个能力的天气都会取消之前的天气，只有速度最慢的生物召唤的天气才会保留。冒险中：如果领头的生物具有此能力，则在沙尘暴中的野外遭遇率会减半。,召唤进入对战后无限期持续的沙尘暴。,出场时， 会把天气变为沙暴。
46,46,以该生物为目标的技能需要额外使用 1 个 PP。如果多个目标都拥有该能力，则该能力可以叠加。此能力仍然会影响失败或错过的技能。该能力不会影响我方以整个场地或仅其一侧为目标的技能，也不会影响该生物以自身为目标的技能；然而，它确实会影响针对该生物的单一目标同伴技能、针对所有其他生物的同伴技能以及针对整个场地的对手技能。如果此能力使技能的 PP 成本高于其剩余 PP，则它将使用所有剩余的 PP。当这只生物进入对战时，所有参与的训练师都会收到通知它具有这种能力。冒险中：如果主要生物具有此能力，则更高级别的生物的遭遇率会增加。,以生物为对象的技能的PP消耗增加1。,给予对手压迫感， 大量减少其使用技能的ＰＰ。
47,47,该生物受到火属性和冰属性技能伤害的一半。,火属性和冰属性技能造成的伤害减半。,因为被厚厚的脂肪保护着， 会让火属性和冰属性的技能伤害减半。
48,48,该生物的剩余睡眠回合数减少 2，而不是 1。如果该生物的睡眠计数器为 1，它将降至 0，然后该生物就会醒来。,使睡眠时间加快两倍。,即使变为睡眠状态， 也能以２倍的速度提早醒来。
49,49,每当技能与该生物接触时，该技能的使用者就有 30% 的几率被烧伤。冒险中：如果队伍中的任何生物具有此能力，则队伍中的每个蛋的孵化计数器在每个步骤周期都会减少 2（而不是 1），使蛋的孵化速度大约提高两倍。如果多个生物拥有此能力或岩浆装甲，则此效果不会叠加。,有 30% 的几率在接触时灼伤攻击生物。,有时会让接触到自己的 对手变为灼伤状态。
50,50,这只生物总是能成功逃离野生对战，即使被技能或能力困住。,确保成功逃离野外对战。,一定能从野生生物 那儿逃走。
51,51,该生物的命中率不会降低。除了能力值修正值之外，此功能不会防止任何命中率降低，例如雾造成的命中率降低；也不会阻止其他生物的躲避使该生物的技能不太准确。该生物仍然可以通过换心获得负面命中率调整值。冒险中：如果队伍中的第一只生物具有此能力，则任何随机遭遇低于其等级五级或以上的生物的情况都有 50% 的几率被跳过。,防止命中率降低。,多亏了锐利的目光， 命中率不会被降低。
52,52,该生物的攻击力不会被其他生物降低。除了能力值修正值之外，此能力不会防止任何攻击损失，例如因烧伤而造成的攻击削减。该生物仍然可以通过心灵互换或力量互换传递负面攻击调整值。,防止其他生物降低攻击力。,因为拥有以力量自豪的钳子， 不会被对手降低攻击。
53,53,在每个回合结束时，如果另一只生物在该回合消耗或投掷了持有的物品，则该生物会捡起该物品（如果它尚未持有该物品）。每次对战后，这只生物有 10% 的几率拾取尚未持有的物品。气球和弹出按钮无法拾取。可能找到的物品因游戏而异，并且自《生物绿宝石》以来，根据生物的等级而变化。该能力会在对战结束后进行检查，此时任何临时的能力变化都会消失。,捡起其他生物用过的和扔掉的物品。对战后也可能拾取物品。,有时会捡来对手用过的道具， 冒险过程中也会捡到。
54,54,该生物每第二回合尝试使用技能，它就会什么都不做（“闲逛”）。闲逛会中断需要多回合的技能，就像麻痹、退缩等一样。大多数这样的技能，例如“忍耐”或“滚动”，都会在闲逛时被中断。具有充能回合的攻击，例如 破坏光线，无需充能；带有准备回合的攻击，例如飞行，最终不会被使用。被迫进行多个回合并不断失败的技能，例如愤怒、骚动或任何由安可强制的技能，都会像往常一样继续进行。如果这只生物陷入混乱，则在闲逛时不会检查其混乱；生物无法伤害自己，它的混乱也不会结束或接近结束。如果该生物尝试技能但失败，例如由于麻痹或重力，它仍然算作已经尝试使用技能，并将在下一回合闲逛。如果它不尝试技能，例如因为它处于睡眠状态或冻结状态，所以无论它要做什么都将被推迟到下一次尝试；也就是说，它要么闲逛，要么照常使用技能，具体取决于它上次做了什么。此能力无法通过烦恼种子更改，但可以通过胃液禁用、通过扮演更改或通过特性互换进行交易。,每隔一回合跳过一次行动。,如果使出技能， 下一回合就会休息。
55,55,该生物的物理技能造成的伤害是通常伤害的 1.5 倍，但命中率却是平时的 0.8 倍。特殊技能不受影响。造成伤害的技能（例如地震投掷）的命中率会受到影响，但伤害不会受到影响。冒险中：如果主要生物具有此能力，则更高级别的生物的遭遇率会增加。,强化物理技能，造成 1.5 倍伤害，但命中率降低至 0.8 倍。,自己的攻击变高， 但命中率会降低。
56,56,每当技能与这只生物接触时，该技能的使用者就有 30% 的几率陷入迷恋。冒险中：如果队伍中的第一只生物具有此能力，则任何种族可以是任一性别的野生生物都有 2/3 的机会被设置为异性，并且像往常一样有 1/3 的机会具有随机性别。,有 30% 的几率在接触时使攻击的生物着迷。,有时会让接触到自己的对手着迷。
57,57,如果任一友方生物拥有正电或负电特性，则该生物的特攻为 1.5 倍。此奖励不算作能力值修正。如果任一能力被胃液禁用，则两者都会失去效果。,当友方生物拥有正电或负电特性时，特攻增加至 1.5 倍。,出场的伙伴之间 如果有正电或负电特性的生物， 自己的特攻会提高。
58,58,如果任一友方生物拥有正电或负电特性，则该生物的特攻为 1.5 倍。此奖励不算作能力值修正。如果任一能力被胃液禁用，则两者都会失去效果。,当友方生物拥有正电或负电特性时，特攻增加至 1.5 倍。,出场的伙伴之间 如果有正电或负电特性的生物， 自己的特攻会提高。
59,59,在下雨、强烈阳光或冰雹时，这只生物的属性会分别变为水、火或冰，并且其形态也会相应变化。该能力对除漂浮泡泡之外的任何生物均无效。如果天气结束或发生任何不会触发该能力的事情，或者具有气锁或云九的生物进入对战，该生物的属性和形态将恢复为默认状态。如果该能力丢失或被禁用，该生物将无法改变其当前属性和形态，直到它恢复其能力为止。,更改 漂浮泡泡 的属性和形式以适应天气。,受天气的影响， 会变为水属性、火属性 或冰属性中的某一个。
60,60,该生物的持有物品不能被其他生物移除。会移除该生物物品的伤害性技能仍然会对该生物造成伤害，例如敲掉或拔掉。该生物仍然可以使用涉及失去自己的物品的技能，例如投掷或戏法。冒险中：如果领头的生物具有此能力，钓鱼时的遭遇率会增加。,防止持有的物品被其他生物移走。,因为道具是粘在黏性身体上的， 所以不会被对手夺走。
61,61,每回合后，该生物有 33% 的严重异常状态被治愈。,每回合后有 33% 的几率治愈任何主要异常状态。,通过蜕去身上的皮， 有时会治愈异常状态。
62,62,每当这只生物陷入沉睡、烧伤、麻痹或中毒时，它的攻击力就会变为 1.5 倍。该生物不受通常的烧伤攻击影响。此奖励不算作能力值修正。,处于异常状态时攻击力增加至 1.5 倍。,如果变为异常状态， 会拿出毅力， 攻击会提高。
63,63,每当该生物出现严重异常状态时，其防御力就会变为 1.5 倍。此奖励不算作能力值修正。,严重状态异常时防御力提高至 1.5 倍。,如果变为异常状态， 神奇鳞片会发生反应， 防御会提高。
64,64,每当一只生物在使用“吸收”之类的吸血技能击中该生物后会得到治愈时，它就会损失与通常获得的一样多的生命值。食梦者不受影响。,使用吸血技能对对手造成与其治疗量一样多的伤害。,吸收了污泥浆的对手 会因强烈的恶臭 而受到伤害，减少ＨＰ。
65,65,当该生物的生命值剩余到 1/3 以下时，其草属性技能会造成通常伤害的 1.5 倍。,强化草技能，在最大生命值 1/3 以下时造成 1.5 倍伤害。,ＨＰ减少的时候， 草属性的技能威力会提高。
66,66,当该生物的生命值剩余到 1/3 以下时，其火属性技能会造成通常伤害的 1.5 倍。,强化火属性技能，在 1/3 最大 ＨＰ 或以下时造成 1.5 倍伤害。,ＨＰ减少的时候， 火属性的技能威力会提高。
67,67,当该生物的生命值剩余到 1/3 以下时，其水属性技能会造成通常伤害的 1.5 倍。,ＨＰ 低于 1/3 时，水属性技能伤害提升至 1.5 倍。,ＨＰ减少的时候， 水属性的技能威力会提高。
68,68,当该生物的生命值剩余到 1/3 以下时，其虫属性技能会造成通常伤害的 1.5 倍。冒险中：如果主力生物拥有此能力，野外遭遇率会增加。,强化虫属性技能，在 1/3 最大 ＨＰ 或更少时造成 1.5 倍伤害。,ＨＰ减少的时候， 虫属性的技能威力会提高。
69,69,该生物不会因反冲技能而受到反冲伤害。挣扎的后坐力不受影响。此能力无法防止跳跃踢或跳高踢造成的碰撞伤害。,防止反冲伤害。,即使使出会受反作用力伤害的技能， ＨＰ也不会减少。
70,70,当这只生物进入对战时，天气会变成强烈的阳光，除非被其他天气条件取消，否则不会结束。如果同时发出多只具有此能力的生物（细雨、沙流或雪警告），则能力将按速度顺序激活，尊重 戏法空间。每个能力的天气都会取消之前的天气，只有速度最慢的生物召唤的天气才会保留。,召唤进入对战后无限期持续的强烈阳光。,出场时， 会将天气变为晴朗。
71,71,当这只生物在战斗时，对手的生物不能逃跑或切换。飞行属性生物和空中生物，例如由于悬浮或电磁飘浮，不受影响。拥有逃跑功能的生物仍然可以逃跑。生物仍然可以通过使用技能或物品来切换。冒险中：如果主力生物拥有此能力，野外遭遇率将翻倍。,防止对手逃跑或转出。被飞行属性和空中的生物躲避。,在战斗中让对手无法逃走。
72,72,该生物无法睡觉。这会导致 睡觉 完全失败。如果生物在睡觉并获得此能力，它会立即醒来；这包括在离开对战后恢复失去的能力。该能力的作用与对战中的不眠相同。冒险中：如果主要生物具有此能力，则更高级别的生物的遭遇率会增加。,妨碍睡眠。,通过激发出干劲， 不会变为睡眠状态。
73,73,该生物的属性不会被其他生物降低。除了能力值修正值之外，此能力不会防止任何能力值损失，例如麻痹造成的速度削减；也不是自己造成的能力值下降，例如过热导致的特殊攻击下降；也不是对手触发的能力值提升，例如 虚张声势 的攻击提升。该生物仍然可以通过防守互换、心灵互换或力量互换传递负面能力值修正。该能力与对战中的恒净之躯相同。冒险中：如果主力生物拥有此能力，野外遭遇率减半。,防止其他生物降低能力值。,被白色烟雾保护着， 不会被对手降低能力。
74,74,该生物的攻击力在对战中翻倍。此奖励不算作能力值修正。该能力的作用与巨大力量相同。,对战中攻击力加倍。,因瑜伽的力量， 物理攻击的威力会变为２倍。
75,75,技能无法对这只生物造成致命一击。该能力的作用与战甲相同。,防止致命一击。,被坚硬的壳保护着， 对手的攻击不会击中要害。
76,76,当这只生物在战斗时，天气仍然会起作用，但不会产生任何影响。此能力的功能与云九相同。,消除天气的所有影响，但不能阻止天气本身。,所有天气的影响都会消失。
77,77,当这只生物陷入混乱时，它的闪避率会增加两倍。,混乱时闪避率会提高。,在混乱状态时， 闪避率会提高。
78,78,每当电属性技能击中这只生物时，它的速度就会上升一级，消除对其产生的任何其他效果。如果该生物对电属性技能免疫，则该能力不会生效。电属性技能将忽略这只生物的替身。该效果包括非伤害性技能，即电磁波。,吸收电属性技能，速度提升一级。,受到电属性的技能攻击时， 不会受到伤害，而是速度会提高。
79,79,该生物对同性生物造成 1.25 倍通常伤害，对异性生物造成 0.75 倍通常伤害。如果任一生物是无性别的，则伤害不受影响。,对同性生物造成的伤害增加至1.25倍，对异性生物的伤害减少至0.75倍。,面对性别相同的对手， 会燃起斗争心，变得更强。 而面对性别不同的，则会变弱。
80,80,每当这只生物退缩时，它的速度就会上升一级。,退缩时速度提升1级。,每次畏缩时， 不屈之心就会燃起， 速度也会提高。
81,81,冰雹时，该生物的回避率为 1.25 倍，且无论何种属性，都不会受到冰雹伤害。躲避奖励不算作属性修正值。冒险中：如果领头的生物具有此能力，则在雪中的野外遭遇率将减半。,冰雹时回避率增加至 1.25 倍。防止冰雹伤害。,冰雹天气时， 闪避率会提高。
82,82,当生命值低于 50% 时，该生物会吃掉因生命值低而触发的任何持有的浆果，无论浆果的通常阈值是多少。,使生物吃掉任何由低于其最大生命值 1/2 的低生命值触发的持有的浆果。,原本ＨＰ变得很少时才会吃树果， 在ＨＰ还有一半时就会把它吃掉。
83,83,每当该生物受到致命一击时，其攻击力就会提升至最多 6 级。如果替身受到重击，该能力仍然有效。,受到致命一击时，攻击力最多提升至六级。,要害被击中时， 会大发雷霆， 攻击力变为最大。
84,84,当这只生物使用或失去其持有的物品时，其速度会加倍。如果它获得其他物品或离开战斗，该奖励就会丢失。这包括生物因拍落而失去其物品的情况。此奖励不算作能力值修正。该能力何时生效没有任何通知。,使用或丢失持有的物品时速度加倍。,失去所持有的道具时， 速度会提高。
85,85,该生物受到火属性技能和灼伤伤害的一半。,将火属性技能和灼伤造成的伤害减半。,耐热的体质会 让火属性的技能威力减半。
86,86,该生物的能力值修正值的每一级都充当两级。这些加倍的级仍然限制为最少 -6 和最多 6。该生物仍然可以累积少于 -3 或多于 3 级的能力值调整值，即使额外的调整值在加倍后没有任何效果。,生物的能力值调整值加倍。这些双倍修饰符的上限仍然是 -6 或 6 级。,能力变化会变为平时的２倍。
87,87,在强烈的阳光下，该生物每回合会受到最大生命值 1/8 的伤害，但在雨天时，它会每回合恢复生命值的 1/8。该生物受到火属性技能伤害的 1.25 倍，但每当水属性技能击中它时，它就会恢复最大生命值的 1/4。,在强阳光下每回合造成 1/8 最大生命值伤害，但在雨天时可恢复 1/8 最大生命值。火属性技能伤害增加至 1.25 倍，但吸收水属性技能，回复最大生命值 1/4。,下雨天气时和受到水属性的技能时， ＨＰ会回复。晴朗天气时和受到火属性的 技能时，ＨＰ会减少。
88,88,当这只生物进入战斗时，其攻击力或特攻力（以对手的总防御力较弱者为准）上升一级。如果平局，则特殊攻击力提高。该能力在战斗中获得时也会生效。,进入对战后，根据对方防御力较弱的情况，提升一级的攻击力。,比较对手的防御和特防， 根据较低的那项能力 相应地提高自己的攻击或特攻。
89,89,标记为基于拳击的技能对于该生物来说具有 1.2 倍的基础威力。 《突袭》并未被标记为基于拳击；它最初的日语名称仅意味着“突然袭击”。,将基于拳击的技能强化至其威力的 1.2 倍。,使用拳类技能的威力会提高。
90,90,如果该生物中毒，每回合后它会恢复最大生命值的 1/8，而不是受到伤害。这包括剧毒。,中毒时每回合后恢复 1/8 最大生命值以代替伤害。,变为中毒状态时， ＨＰ不会减少，反而会增加起来。
91,91,该生物的属性与其自身属性相匹配的技能会造成两倍的伤害，而不是通常同属性攻击加值的 1.5 倍。,同属性攻击加值从 1.5 倍增加到 2 倍。,与自身同属性的技能 威力会提高。
92,92,这只生物总是以二到五次攻击的技能攻击五次，例如冰柱矛。它还绕过了对三重踢第二次和第三次打击的命中率检查。,每次都能将两到五击的技能和三重踢延长到最大长度。,如果使用连续技能， 总是能使出最高次数。
93,93,这只生物在下雨期间的每次回合后都会治愈任何主要异常状态。,在下雨期间每回合结束后治愈任何主要异常状态。,下雨天气时， 异常状态会治愈。
94,94,在强烈阳光下，该生物的特攻为 1.5 倍，但每回合后受到的伤害为最大生命值的 1/8。,强阳光下，特攻提升至 1.5 倍，但每回合后消耗最大生命值 1/8。,晴朗天气时， 特攻会提高， 而每回合ＨＰ会减少。
95,95,每当这只生物出现严重异常状态时，它的速度就会提高 1.5 倍。该生物不受通常的麻痹速度削减的影响。冒险中：如果主力生物拥有此能力，野外遭遇率减半。,速度,变为异常状态时， 速度会提高。
96,96,该生物的技能全部与一般属性相同。造成无属性伤害的技能照常进行。可变属性的技能（例如隐藏力量）会受到影响。然而，它们在其他方面照常工作；例如，天气球总是被迫为正常，但它仍然具有双倍威力，并且在天气期间看起来不同。由于电磁波被免疫阻止，与大多数非伤害性技能不同，在该能力的效果下，它不会影响幽灵属性生物。,使生物的技能全部变为一般属性。,无论是什么属性的技能， 全部会变为一般属性。 威力会少量提高。
