id,species_id,growth_rate_id,evolves_from_species_id,evolution_chain_id,sort_order,gender_differences,forms_switchable,genus,flavor_text
22,22,2,21,8,22,false,false,鸟嘴生物,很久以前就存在的生物。 哪怕只察觉到一丝危险， 都会立即飞向高空。
23,23,2,,9,23,false,false,蛇生物,身体会随着年龄增长不断变长。 每到夜里，它会一圈圈地 将身体缠绕在树枝上休息。
24,24,2,23,9,24,false,false,眼镜蛇生物,根据研究证实，它腹部 那可怕的纹路大约有 ６个种类已经得到确认。
25,25,2,172,10,26,true,false,鼠生物,皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
26,26,2,25,10,27,true,false,鼠生物,如果电囊空了， 它就会直直地竖起尾巴， 收集空气中的电流。
27,27,2,,11,28,false,false,鼠生物,会在地上挖洞建造巢穴。 挖洞时，即便遇到地里的坚硬岩石， 也能用尖锐的爪子弄碎后继续挖进。
28,28,2,27,11,29,false,false,鼠生物,会将锐利的爪子钩在树上爬树。 这是为了设法使树果掉落， 分给等在树下的穿山鼠们。
29,29,4,,12,30,false,false,毒针生物,用坚硬的门牙咬碎 树果吃。和雄性相比， 角的尖端稍圆一些。
30,30,4,29,12,31,false,false,毒针生物,如果族群遇到了危险， 会和伙伴们团结起来， 施展出超音波大合唱。
31,31,4,30,12,32,false,false,钻锥生物,把孩子放在背上刺与刺的 空隙里来哄它们。在这时 绝对不会释放毒素。
32,32,4,,13,33,false,false,毒针生物,身材虽小，却性格勇敢。 为了保护相好的雌性， 会不顾生命果敢地战斗。
33,33,4,32,13,34,false,false,毒针生物,神经敏感，动不动就打架。 体内的肾上腺素一增加， 毒素的浓度也会提高。
34,34,4,33,13,35,false,false,钻锥生物,以力量为傲的生物。 用自己的粗尾巴和连钻石 都能击碎的角，豪爽地战斗。
35,35,3,173,14,37,false,false,妖精生物,因可爱的举止和叫声 而广受欢迎的生物。 不过很少被人发现。
36,36,3,35,14,38,false,false,妖精生物,听觉灵敏，连１公里以外 针落地的声音都听得见， 因此平时会待在安静的地方。
37,37,2,,15,39,false,false,狐狸生物,随着身体的成长， ６根尾巴的毛发也会变得更漂亮。 紧紧抱着它时能感到微微的温暖。
38,38,2,37,15,40,false,false,狐狸生物,聪明伶俐，但爱记仇。 据说如果敢乱抓它的尾巴， 它就会缠着你作祟１０００年。
39,39,3,174,16,42,false,false,气球生物,能够随意改变声音的波长， 唱出听了绝对会 犯困的神奇旋律。
40,40,3,39,16,43,false,false,气球生物,以自己细腻的体毛为傲。 尤其是额头上的卷毛， 更是有着天堂般的极致触感。
41,41,2,,17,44,true,false,蝙蝠生物,栖息在晒不到阳光的洞窟里。 到了早晨便会和同伴聚集起来， 一边互相取暖一边睡觉。
42,42,2,41,17,45,true,false,蝙蝠生物,用小而灵活的脚走路。 会悄悄接近正在睡觉的猎物， 用尖牙咬住对方吸取血液。
43,43,4,,18,47,false,false,杂草生物,白天会为躲避太阳 而钻入凉爽的地下。 会通过沐浴月光成长。
44,44,4,43,18,48,true,false,杂草生物,雌蕊会散发一种 极其强烈的恶臭， 能让２公里远的人濒死。
45,45,4,44,18,49,true,false,花生物,虽然花瓣越大， 就能放出越多的花粉， 但这样脑袋会变沉，容易疲倦。
46,46,2,,19,51,false,false,蘑菇生物,它会通过挖洞来从树根里 吸取营养，但大部分营养 都会被背上的蘑菇抢走。
47,47,2,46,19,52,false,false,蘑菇生物,由于虫子的精华不断被吸走， 在思考的似乎已经不是虫子， 而是背上的蘑菇了。
48,48,2,,20,53,false,false,昆虫生物,在明亮的地方你便能发现它 具有雷达功能的大眼其实是 由许多个小眼睛聚集而成的。
49,49,2,48,20,54,false,false,毒蛾生物,如果不小心把它翅膀上的鳞粉 沾到了身上，那不但会很难去除， 更糟的是毒素也会从那里渗入。
50,50,2,,21,55,false,false,鼹鼠生物,在地下较浅的地方移动。 被它挖掘过的地面会鼓起来， 所以非常容易发现。
51,51,2,50,21,56,false,false,鼹鼠生物,三胞胎的地鼠，拥有能够挖掘到 地下１００公里深的潜力。没人知道 它在地下的部分究竟长成什么样子。
52,52,2,,22,57,false,false,妖怪猫生物,为了不弄脏额头上的 金币，会常常洗脸。 和伽勒尔的喵喵关系不好。
53,53,2,52,22,58,false,false,暹罗猫生物,拥有优雅高贵的身姿。 与野蛮的喵头目性格不合， 互相看不起对方。
54,54,2,,23,59,false,false,鸭生物,头痛会随着压力逐渐累积 而不断加剧。会用强大的 念力击垮周围的一切。
55,55,2,54,23,60,false,false,鸭生物,古老的故事中说， 它会把污染河水的 人类拖进水中带走。
56,56,2,,24,61,false,false,猪猴生物,身体轻盈，在树上生活。 常因鸡毛蒜皮的小事发火 而飞扑到周围的东西上。
57,57,2,56,24,62,false,false,猪猴生物,只有在谁都不在身边的 时候才不生气，但几乎 没有人目击过这种情况。
58,58,1,,25,63,false,false,小狗生物,性格忠诚。 为了保护自己的训练家， 会拼命地朝对手狂吠。
59,59,1,58,25,64,false,false,传说生物,从古时候起就是俘获了 众多人心的美丽生物。 能像飞一样轻巧地奔跑。
60,60,4,,26,65,false,false,蝌蚪生物,在水流湍急的河里， 会把厚厚的嘴唇像吸盘那样 紧紧吸在岩石上避免被冲走。
61,61,4,60,26,66,false,false,蝌蚪生物,流出的汗是黏滑的粘液状。 即使被敌人捉住， 也能哧溜一下滑走逃脱。
62,62,4,61,26,67,false,false,蝌蚪生物,除了游泳还擅长格斗技。 能用经过锻炼的手臂 使出豪迈强力的拳击。
63,63,4,,27,69,false,false,念力生物,能够在睡梦中使出瞬间移动。 据说它睡得越熟，就能 移动到越遥远的地方。
64,64,4,63,27,70,true,false,念力生物,念力的威力大得惊人。 会把精神力量储存在额头的 星星里，以备进化之需。
65,65,4,64,27,71,true,true,念力生物,会操纵强大的超能力。 据说它双手握着的汤勺 就是用那力量制造出来的。
66,66,4,,28,72,false,false,怪力生物,时时刻刻都充满力量。 由于体力过剩而去举起岩石 消磨时间，也因此变得更强。
67,67,4,66,28,73,false,false,怪力生物,有着不会疲劳的强韧肉体。 会去帮助人类完成例如 搬运沉重行李之类的工作。
68,68,4,67,28,74,false,false,怪力生物,４只手臂在思考之前 就会反射性地行动， 使出多发拳击。
69,69,4,,29,75,false,false,花生物,喜欢温度高，有一定 湿度的地方。它会用 身上的藤蔓抓小虫来吃。
70,70,4,69,29,76,false,false,捕蝇生物,它在肚子饿的时候会 吞掉周围会动的东西， 分泌溶解液让其致命。
71,71,4,70,29,77,false,false,捕蝇生物,用花蜜的香味引诱猎物。 据说被它吞入嘴里的东西， 只要1天就会溶解到连骨头都不剩。
72,72,1,,30,78,false,false,水母生物,身体的大部分由水组成。 在海中，会和海水混为一体， 非常难以发现。
73,73,1,72,30,79,false,false,水母生物,８０根触手伸缩自如。 会像撒网那样伸开触手 抓住猎物并刺入毒针。
74,74,4,,31,80,false,false,岩石生物,大多栖息于山路。由于 不留神踩到它会使它 大发雷霆，得多加小心。
75,75,4,74,31,81,false,false,岩石生物,常在山路上滚来滚去。 滚动时从来不关心 前面的路上都有什么。
76,76,4,75,31,82,false,false,重量级生物,刚蜕皮时浑身都白白的 非常柔软，但是接触到 空气之后会迅速变坚硬。
77,77,2,,32,83,false,false,火马生物,得到了小火马认可的人， 在触摸它灼伤着的鬃毛时 不会觉得烫手，真是不可思议。
78,78,2,77,32,84,false,false,火马生物,奔跑速度最快的烈焰马 会成为首领，决定族群 前往的地点和奔跑速度。
79,79,2,,33,85,false,false,憨憨生物,把尾巴泡在水里后会有甜味渗出， 因此它会以尾巴为诱饵 吸引生物并将其钓起。
80,80,2,79,33,86,false,true,寄居蟹生物,因为被大舌贝咬住而受到的刺激使它 变得能够两足直立行走。当大舌贝 离开后，它似乎就会变回呆呆兽。
81,81,2,,34,88,false,false,磁铁生物,靠吃电来维持生命。 会一边从左右两边的组件 放射电磁波一边在空中飞行。
82,82,2,81,34,89,false,false,磁铁生物,会不断释放很强的的磁力。 在三合一磁怪接近时，大多数 电脑都会发生异常情况。
83,83,2,,35,91,false,false,黄嘴鸭生物,用植物的茎来战斗。 茎的挥舞方式存在着 好几种不同的流派。
84,84,2,,36,92,true,false,两头鸟生物,羽毛较短所以不擅长飞行， 但是拥有发达的双脚， 能够以很快的速度奔跑。
85,85,2,84,36,93,true,false,三头鸟生物,由嘟嘟的某个头分裂 出的变种。以60千米的 时速在草原上奔跑。
86,86,2,,37,94,false,false,海狮生物,喜欢天寒地冻的地方， 就算零下10度 也能愉快地游泳。
87,87,2,86,37,95,false,false,海狮生物,全身像雪一样白。十分耐寒， 即使是在有浮冰的大海里 也能很精神地游来游去。
88,88,2,,38,96,false,false,污泥生物,它由囤积的淤泥而形成。 臭到让人无法碰触，凡是 它走过的地方都寸草不生。
89,89,2,88,38,97,false,false,污泥生物,非常难闻！气味臭到让人 窒息，但由于鼻子的退化， 它自己完全闻不到味道。
90,90,1,,39,98,false,false,双壳贝生物,坚硬的壳能反弹任何攻击。 壳打开时，如果里面的部分 受到攻击，就会变得很脆弱。
91,91,1,90,39,99,false,false,双壳贝生物,一旦它把壳闭上， 无论是拥有什么样怪力的人 都无法将其打开。
92,92,4,,40,100,false,false,气体状生物,能用稀薄气体状的 身体潜入任何地方， 但只要起风就会被吹跑。
93,93,4,92,40,101,false,false,气体状生物,如果黑暗中空空如也， 但你却感觉被什么盯上了， 那么鬼斯通一定就在那里。
94,94,4,93,40,102,false,true,影子生物,据说它会为了夺取 山中遇难者的生命 而从黑暗中出现。
95,95,2,,41,103,false,false,岩蛇生物,弯曲扭动巨大结实的身体， 以时速８０公里的 猛烈劲头向前挖进。
96,96,2,,42,105,false,false,催眠生物,如果你每晚与它一起睡觉， 它偶尔会让你梦见 它以前吃过的梦。
97,97,2,96,42,106,true,false,催眠生物,无意中遇到它的时候，如果 不小心和它对上视线会很危险。 它手里拿着的钟摆会让人睡着。
98,98,2,,43,107,false,false,清水蟹生物,如果危险逼近， 就会从嘴里吐出泡沫包裹全身， 让身体看起来更大。
99,99,2,98,43,108,false,false,钳子生物,巨大的钳子破坏力十足， 但是因为太过沉重， 不战斗的时候就很碍事。
100,100,2,,44,109,false,false,球生物,据说它与精灵球相似的外形 其实是它的保护色，但它 很容易自爆这一点也出人意料。
101,101,2,100,44,110,false,false,球生物,只要受到一点撞击， 就会由于体内的 电能溢出导致爆炸。
102,102,1,,45,111,false,false,蛋生物,６只不在一起就不安心。 哪怕只是少了１只， 都会马上想要逃跑。
103,103,1,102,45,112,false,false,椰子生物,３个脑袋联合起来 能使出强大的精神力量。 天气变阴时技能会变得迟钝。
104,104,2,,46,113,false,false,孤独生物,它头上戴着死去母亲的头骨。 虽然也会因悲伤的梦境而哭泣， 但每流一次泪，都会变得更加坚强。
105,105,2,104,46,114,false,false,爱骨生物,进化后，与原本戴在头上的 母亲头骨完全融为一体， 而且性格也变得十分凶暴。
106,106,2,236,47,116,false,false,踢腿生物,腿能自由地伸缩， 即使离得很远， 也能把对手踢飞。
107,107,2,236,47,117,false,false,拳击生物,打出的拳击甚至能劈开空气。 但攻击３分钟后， 它似乎就会想休息一下。
108,108,2,,48,119,false,false,舔舔生物,主要以虫生物为食。 会用长长的舌头舔对手， 等对手麻痹后将其整个吞下。
109,109,2,,49,121,false,false,毒气生物,污浊的空气是它的美味大餐。 据说在昔日的伽勒尔地区 曾经存在着更多的瓦斯弹。
110,110,2,109,49,122,false,false,毒气生物,虽然吸入空气的力量 稍弱于伽勒尔的双弹瓦斯， 制造出的毒素却更加强力。
111,111,1,,50,123,true,false,尖尖生物,脑子里只能记住一件事。 一旦开始猛冲，不管理由是什么 都会很快感到无所谓而忘掉。
112,112,1,111,50,124,true,false,钻锥生物,全身被铠甲般的皮肤保护着。 甚至能在２０００度的熔岩里生存。
113,113,3,440,51,127,false,false,蛋生物,原本技能迟缓。 为了保护蛋不被抢走， 逃跑的速度才变快了。
114,114,2,,52,129,false,false,藤蔓状生物,藤蔓有着独特的香气。 在伽勒尔的部分地区 被当做香草使用。
115,115,2,,53,131,false,true,亲子生物,据记载，曾有没孩子的 袋兽将遇难人类的 小孩抚养长大。
116,116,2,,54,132,false,false,龙生物,会像跳舞一样在水中游动 以制造漩涡。作为娱乐， 会和伙伴比拼谁的漩涡更大。
117,117,2,116,54,133,false,false,龙生物,嘴巴虽然细，吸引力却很强。 就算是比嘴巴还大的猎物， 也能一瞬间吸进嘴里吃掉。
118,118,2,,55,135,true,false,金鱼生物,背鳍和尾鳍像肌肉 那样发达。能够以 ５节的速度在水中游泳。
119,119,2,118,55,136,true,false,金鱼生物,金鱼王之所以会用角挖穿 河底的岩石来筑巢，是为了 防止产下的卵被水流冲走。
120,120,1,,56,137,false,false,星形生物,虽然会遭到鱼生物的啄食， 但身体即使被咬掉一块也能 马上再生，所以完全不在意。
121,121,1,120,56,138,false,false,谜生物,会高速旋转着身体 一边游泳一边吸收 微小的浮游生物。
122,122,2,439,57,140,false,false,屏障生物,擅长表演默剧。 用手指放出的波动制造墙壁， 保护自己免于大多数攻击。
123,123,2,,58,141,true,false,螳螂生物,如果在森林中发现某个地方 有大量树木被砍倒，就说明 那里是飞天螳螂的领地。
124,124,2,238,59,144,false,false,人形生物,伽勒尔的迷唇姐外表靓丽， 拥有纤细叫声的也不在少数， 甚至有为其着迷的粉丝。
125,125,2,239,60,146,false,false,电击生物,暴风雨来临时，它们就会 集结在高高的大树周围， 耐心地等待落雷。
126,126,2,240,61,149,false,false,吐火生物,全身时刻都在灼伤。 大家认为它是引发火灾的 原因之一，非常惧怕它。
127,127,1,,62,151,false,true,锹形虫生物,用角夹住猎物后， 不是直接把对方切成两半， 就是强行把对方扔飞。
128,128,1,,63,152,false,false,暴牛生物,栖息在伽勒尔的肯泰罗 性格暴躁，决不允许 人类骑在自己的背上。
129,129,1,,64,153,true,false,鱼生物,又弱又可怜的生物。 在水流比较快的地方 只能任凭自己被水冲走。
130,130,1,129,64,154,true,true,凶恶生物,就算是在狂风暴雨中， 只要发狂的暴鲤龙出现， 一切都会被它烧毁殆尽。
131,131,1,,65,155,false,false,乘载生物,十分耐寒，不畏冰海。 皮肤滑滑的， 摸上去会有点凉。
132,132,2,,66,156,false,false,变身生物,当两只百变怪相遇的时候， 为了能变成和对方相同的样子， 它们动起来会比平常更加剧烈。
133,133,2,,67,157,true,false,进化生物,由于不稳定的遗传基因， 蕴含着各种各样进化 可能性的特殊生物。
134,134,2,133,67,158,false,false,吐泡生物,身体细胞的结构与水分子相似。 它能和水融为一体， 让别人无法看见它。
135,135,2,133,67,159,false,false,雷生物,能够吸入空气中的负离子， 有时会吐出大约有 １００００伏特的高压电。
136,136,2,133,67,160,false,false,火生物,会将吸入的空气的一部分 传送到自己体内的火囊里， 制造出１７００度的火焰。
137,137,2,,68,166,false,false,虚拟生物,近年来十分活跃于 电脑空间。到处检查 有没有可疑的数据。
138,138,2,,69,169,false,false,漩涡生物,已经灭绝的古代生物。 依靠１０只脚来划水， 在水中轻盈地游曳。
139,139,2,138,69,170,false,false,漩涡生物,拥有足以咬碎岩石的锋利牙齿， 但是能够袭击的猎物仅限 触手可以伸展的范围之内。
140,140,2,,70,171,false,false,甲壳生物,虽然存在已经灭绝的说法， 但据说在一部分地区 还是经常能见到它的身影。
141,141,2,140,70,172,false,false,甲壳生物,灭绝的原因尚不明确。 曾经栖息在温暖的大海， 是性格残暴的古代生物。
142,142,1,,71,173,false,true,化石生物,长着锯子般的牙齿。 甚至连钢属性生物的皮肤 都会被它的牙齿撕成碎片。
143,143,1,446,72,175,false,false,瞌睡生物,拥有一个结实的胃， 即使吃了发霉腐烂的东西， 也完全不会吃坏肚子。
144,144,1,,73,176,false,false,冰冻生物,拥有能够自由操纵冰 的能力。据说它栖息在 永久冻土的雪山。
145,145,1,,74,177,false,false,电击生物,传说的鸟生物。 据说只要它一摩擦翅膀， 就会立刻发生落雷。
146,146,1,,75,178,false,false,火焰生物,相传它会用灼伤着的 美丽翅膀照亮山道， 救助在此遇险的人。
147,147,1,,76,179,false,false,龙生物,长久以来被认为只存在于 幻想之中。额头小小的突起 是正在发育的角。
148,148,1,147,76,180,false,false,龙生物,把力量集中在尾巴的 珠子上操纵天气。 散发气场的样子非常神秘。
149,149,1,148,76,181,false,false,龙生物,被称为大海的化身。 很多船都会把快龙的 雕像设置在船头。
150,150,1,,77,182,false,true,基因生物,超梦的基因几乎和梦幻 完全一样，但是大小和 性格却迥异得让人吃惊。
151,151,4,,78,183,false,false,新种生物,用显微镜可以看到 它身上极短极细 且密集的体毛。
152,152,4,,79,184,false,false,叶子生物,在对战中，菊苣会挥动它的叶子来阻止敌人。然而，叶子上也飘散出一股甜甜的香味，让正在对战的生物平静下来，并在周围营造出一种舒适、友好的氛围。
153,153,4,152,79,185,false,false,叶子生物,月桂叶的脖子上环绕着卷曲的叶子。每片管状叶子内部都有一个小树芽。这芽的香味让人精神振奋。
154,154,4,153,79,186,true,false,芳草生物,大加兰花的香味可以舒缓和平静情绪。在对战中，这只生物会散发出更多镇定的气味来削弱敌人的斗志。
155,155,4,,80,187,false,false,火鼠生物,来自城都地区。虽然性格胆怯，通常会蜷缩成球状，但拥有强大的火力。
156,156,4,155,80,188,false,false,火山生物,这种生物的皮毛最为神秘——它完全不受火焰灼伤的影响。如果 Quilava 背对着你，请小心！这样的姿势预示着即将到来的攻击。
157,157,4,156,80,189,false,false,火山生物,据说可以用它的火焰净化迷失、被遗弃的灵魂并引导他们进入来世。我相信它的形状受到了翡翠中心高耸的圣山能量的影响。
158,158,4,,81,190,false,false,大颚生物,尽管小锯鳄的身体很小，但它的下巴却非常有力。虽然生物可能认为它只是开玩笑地咬，但它的咬合力足以造成严重伤害。
159,159,4,158,81,191,false,false,大颚生物,一旦鳄鱼咬住敌人，它就绝对不会放手。因为它的尖牙尖端像带刺的鱼钩一样向后叉开，一旦陷入其中就无法拔除。
160,160,4,159,81,192,false,false,大颚生物,菲拉利加特张开大嘴来恐吓敌人。对战时，它会用粗壮有力的后腿用力蹬地，以惊人的速度向敌人冲锋。
161,161,2,,82,193,false,false,放哨生物,当哨兵睡觉时，它会睡觉，同时另一个哨兵守卫。一旦出现危险迹象，哨兵就会叫醒其他人。当这只生物与群体失散时，它会因为恐惧而无法入睡。
162,162,2,161,82,194,false,false,长躯干生物,Furret 身材非常苗条。当受到攻击时，它可以灵活地蠕动穿过狭窄的空间并逃脱。尽管四肢较短，但这只生物非常敏捷且敏捷。
163,163,2,,83,195,false,false,猫头鹰生物,总是在固定的时间鸣叫， 因此也有训练家 拿它来代替钟表带出门。
164,164,2,163,83,196,false,false,猫头鹰生物,开始思考事情时， 会将脖子旋转１８０度， 以此提高大脑的工作效率。
165,165,3,,84,197,true,false,五星生物,非常胆小的生物。 会和伙伴一起张开反射壁来保护巢穴。
166,166,3,165,84,198,true,false,五星生物,在夜空中飞翔的同时 会抛撒闪闪发光的粉末。 据说粉末沾到身上就会有好事发生。
167,167,3,,85,199,false,false,吐丝生物,牙齿上的毒并不强烈， 但用来削弱那些挂在网上 无法动弹的猎物是绰绰有余了。
168,168,3,167,85,200,false,false,长腿生物,会通过吐丝来捕捉猎物。 到了晚上，就会离开 巢穴并积极地狩猎。
169,169,2,42,17,46,false,false,蝙蝠生物,可以自由地控制４根翅膀 振翅而飞。即使在狭窄的 洞窟内也能保持速度飞来飞去。
170,170,1,,86,201,false,false,琵琶鱼生物,在黑暗的海底， 触手上不断闪烁着的光 是它们唯一的通信手段。
171,171,1,170,86,202,false,false,灯生物,发出强光蒙住猎物的眼睛。 抓住那一瞬间的空档， 使其遭受电的攻击。
172,172,2,,10,25,false,false,小鼠生物,脸颊上的电囊还很小， 如果囊里的电太多了， 就会漏出来电到自己。
173,173,3,,14,36,false,false,星形生物,有着星星一样的轮廓。 由于那外形，人们相信 它是乘着流星而来的。
174,174,3,,16,41,false,false,气球生物,用柔软的身体弹跳著移动。 当它的体温上升时， 身体会变成深粉红色。
175,175,3,,87,203,false,false,针球生物,好运的象征。 据说在它的壳里 装着满满的幸福。
176,176,3,175,87,204,false,false,幸福生物,不待在温柔的人身边 就会变得没有精神。 不挥动翅膀也能浮在空中。
177,177,2,,88,206,false,false,小鸟生物,由于羽翼未丰， 所以会跳着移动。 一直在注视着什么。
178,178,2,177,88,207,true,false,神秘生物,能够看穿过去和未来。 日复一日注视着太阳 动向的奇异生物。
179,179,4,,89,208,false,false,绵毛生物,绒毛摩擦产生的电力会被储存起来。 如果觉得可爱而直接用手碰它的话， 就会被啪地一下电得又麻又痛。
180,180,4,179,89,209,false,false,绵毛生物,能将电力储存在松软的毛发中。 因为储存了太多电力，所以身上 有些地方已经变得光秃秃的了。
181,181,4,180,89,210,false,true,灯生物,尾巴会发出很强的亮光。 从以前起，它就被船员们 当做路标而深受重视。
182,182,4,44,18,50,false,false,花生物,有时能看到美丽花聚在一起 做着像是跳舞一样的技能。 据说这是呼唤太阳的仪式。
183,183,3,298,90,212,false,false,水鼠生物,体毛的防水性能很好， 就算是从冰冷的海里上岸， 身体也会立刻干掉，一点都不冷。
184,184,3,183,90,213,false,false,水兔生物,会制作填满空气的泡泡。 当露力丽在河里玩的时候， 它就会用这个泡泡包住露力丽。
185,185,2,438,91,215,true,false,模仿生物,为了不被袭击会模仿树的样子。 很讨厌水，所以下雨后， 不知什么时候就会消失。
186,186,4,61,26,68,true,false,蛙生物,雄性的叫声更响亮。 叫声低沉可怕的蚊香蛙皇 更能受到雌性的欢迎。
187,187,4,,92,216,false,false,棉草生物,这只生物会随风飘浮。如果它感觉到强风即将来临，霍皮普就会将自己的叶子与其他霍皮普连接起来，以防被风吹走。
188,188,4,187,92,217,false,false,棉草生物,当温度升至 64 华氏度以上时，斯基普卢姆的花朵就会开花。花开的程度取决于温度。因此，该生物有时被用作温度计。
189,189,4,188,92,218,false,false,棉草生物,跳跃者乘着温暖的南风，飘洋过海，飞向异国他乡。生物在漂浮时遇到冷空气就会降落到地面。
190,190,3,,93,219,true,false,长尾生物,会从树上寻找猎物。 发现喜食的甜竹竹后， 就会兴奋地飞扑过去。
191,191,4,,94,221,false,false,种子生物,Sunkern 尝试尽可能少地技能。它这样做是因为它试图保存为进化而储存在体内的所有营养物质。它不吃任何东西，只靠晨露生存。
192,192,4,191,94,222,false,false,太阳生物,Sunflora 将太阳能转化为营养。白天天气温暖时，它会活跃地活动。晚上太阳一落山，它就停止技能。
193,193,2,,95,223,false,false,薄翼生物,它脆弱的翅膀非常薄，人们可以透过它们看清楚。然而，在飞行过程中，这些翅膀展现出搅动空气的力量，其力量足以将一座房子推向天空。
194,194,2,,96,225,true,false,水鱼生物,为了在地面上行走时 不让皮肤干燥，会用 有毒的粘膜覆盖身体。
195,195,2,194,96,226,true,false,水鱼生物,身体总是滑溜溜的。 虽然游泳时头总会撞到河底， 但它自己毫不在意。
196,196,2,133,67,161,false,false,太阳生物,从额头的珠子放射出精神力量 进行战斗。当力量用尽时， 珠子的颜色也会褪去。
197,197,2,133,67,162,false,false,月光生物,在满月之夜或是兴奋的时候， 它身上圈圈一样的花纹 就会发出金黄色的光。
198,198,4,,97,227,true,false,黑暗生物,会为老大去寻找闪闪发光的东西。 据说它很不吉利，厌恶它的人也很多。
199,199,2,79,33,87,false,false,王者生物,虽然无论向呆呆王提出 什么难题它都会帮忙解决， 但是谁都无法理解它的语言。
200,200,3,,98,229,false,false,夜啼生物,会通过模仿人哭叫的声音 来吓唬大家并以此为乐。 不擅长对付胆大的对手。
201,201,2,,99,231,false,false,象征生物,很难相信这些形状怪异的生物是真正的活物。我已经指出，该物种的许多形式类似于来自其他国家的文字。没有人会认真对待我。
202,202,2,360,100,233,true,false,忍耐生物,为了隐藏漆黑的尾巴 而悄悄地生活在黑暗之中。 不会主动发起攻击。
203,203,2,,101,234,true,false,长颈生物,吉拉法里格的后脑有一个很小的大脑，它太小而无法思考。而后脑不需要睡觉，可以24小时监视着周围的环境。
204,204,2,,102,235,false,false,蓑衣虫生物,会用唾液将树皮粘在自己身上， 从而让自己变得又厚又大。 上了年纪的榛果球是无比巨大的。
205,205,2,204,102,236,false,false,蓑衣虫生物,仅在吞下猎物的瞬间，壳里面的 身体才会出现，但至今仍未有 人或生物见过其真面目。
206,206,2,,103,237,false,false,地蛇生物,栖息在像迷宫一样的巢穴里。 能通过土壤的气味来判断自己的 位置，所以绝对不会迷路。
207,207,4,,104,238,true,false,飞蝎生物,它的尾巴末端有一根又粗又可怕的毒刺。为了打倒猎物，它首先用身体遮住猎物的脸来遮挡猎物的视线，然后用毒刺向猎物注入毒液。
208,208,2,95,41,104,true,true,铁蛇生物,人们认为它的身体是因为 堆积了很多和泥土一起吞下的 铁元素，才会发生变化的。
209,209,3,,105,240,false,false,妖精生物,它和看上去不同，其实很胆小。 所以如果把它和小狗生物 放在一起，它就有可能会受到欺负。
210,210,3,209,105,241,false,false,妖精生物,虽然深受年轻女性的欢迎， 但它胆小怕事，内心柔弱， 所以无法成为一条看门犬。
211,211,2,,106,242,false,false,气球生物,全身上下的小针都是由鳞片 变化而来的。如果被刺中的话， 就会因中毒而昏迷。
